cause	post_url	km	source_key	candidates(★=現行の勝者)	caption
C1_ブランドサイト共有	https://www.instagram.com/p/DXv-4DIERZR/	54.7	tatsunoya.net	★ラーメン龍の家光の森店（熊本県菊池郡菊陽町光の森７丁目３５−１） / 龍の家 ワンダーシティ店（熊本県熊本市中央区九品寺６丁目９−４０） / 龍の家久留米インター店（福岡県久留米市御井旗崎１丁目１１−１）	とんこつラーメンの龍の家｜久留米・新宿・熊本
C1_ブランドサイト共有	https://www.instagram.com/p/DZpqjj2CaA8/	30.7	mmthcoffee.com	★mommoth coffee（송파구 충민로 52） / 매머드커피 신중동（1136-4 Jung-dong） / 매머드 익스프레스（분당구 성남대로 165） / MAMMOTH COFFEE（강남구 테헤란로43길 12）	매머드커피 MAMMOTH COFFEE 공식 홈페이지입니다.
C1_ブランドサイト共有	https://www.instagram.com/p/CxMu7udvaHh/	424.2	sweets-paradise.jp	★スイーツパラダイス（中央区三宮町1-4-3） / Animax Cafe（東京都渋谷区神宮前１丁目１５−２）	公式スイーツパラダイス[SWEETS PARADISE]スイーツと軽食が食べ放題のバイキング
C1_ブランドサイト共有	https://www.instagram.com/p/CFtcKUkg5Tz/	99.4	misonoya-ramen.com	★味噌乃家熊本十禅寺店（熊本県熊本市南区平田１丁目１−１１） / 味噌乃家大分マート店（大分県大分市中央町１丁目４−２２）	味噌乃家 | 上質な九州味噌ラーメン専門店・味噌乃家
C1_ブランドサイト共有	https://www.instagram.com/p/DckrDlVFH5O/	9.0	kitcho.com	★HANA吉兆（東山区大和町3-2） / 京都吉兆 嵐山店（Sagatenryuji Susukinobabacho, ５８）	京都吉兆｜KYOTO KITCHO - 懐石料理
C1_ブランドサイト共有	https://www.instagram.com/reel/DWVYNIbAesB/	296.2	butadon-tonton.jp	★元祖豚丼屋TONTON 足立店（保木間2-31-4） / 元祖 豚丼屋 Tonton 西葛西店（中葛西5-4-4） / 元祖豚丼屋 TONTON 八乙女店（泉区上谷刈1-4-13）	【公式】元祖豚丼屋 TONTON（トントン）｜北海道帯広名物
C1_ブランドサイト共有	https://www.instagram.com/p/DDDwKAFTkwg/	0.0	sanbaka.gourmet-maruichi.com	★はなび東神田はなれ（東京都千代田区東神田２丁目６−２） / あそび割烹 さん葉か（東神田2-6-2）	あそび割烹 さん葉か
C1_ブランドサイト共有	https://www.instagram.com/p/CNjtBd4s4mR/	176.4	takamotoya.com	★黒酢チキン南蛮定食 たかもとや 国分店（鹿児島県霧島市国分新町１５５７−１） / 黒酢チキン南蛮定食 たかもとや 佐賀医大前店（佐賀県佐賀市鍋島４丁目１−３６）	熊本の黒酢チキン南蛮専門店｜「たかもとや」
C1_ブランドサイト共有	https://www.instagram.com/p/DZBxVgLE5h_/	0.8	epulor.jp	★epulor on the winding path（Ebisunishi, 2 Chome−17−4 SG代官山 2F） / epulor（東京都目黒区青葉台１丁目１９−１０）	epulor | 中目黒/恵比寿・代官山 レコード カフェ＆ワインバー
C1_ブランドサイト共有	https://www.instagram.com/p/DbebqH2haMt/	5.1	tppn.jp	★orange egg（北海道稚内市若葉台２丁目１−４） / orangegg*（3 Chome-6-1 Central）	Orangegg（オレンジエッグ） | 北海道最北のスイーツ
C1_ブランドサイト共有	https://www.instagram.com/p/DbK4MWZTjld/	43.3	shitamachinoku.jp	★下町の空名北店（愛知県名古屋市北区丸新町１２６） / Shitamachi Noku Taketoyo（10-3 Shimoda）	下町グループ | 名古屋「下町の空」の自家製餃子とらーめん
C1_ブランドサイト共有	https://www.instagram.com/p/DcazE93vUD2/	889.6	chimney.co.jp	★北海道 はなの舞（新川1-2-14） / はなの舞 JR久留米駅前店（城南町2-34） / はなの舞長津田南口店（神奈川県横浜市緑区長津田５丁目３−７） / こだわりやま 久喜クッキープラザ店（久喜中央1-1-20） / 豊洲市場 さかな酒場 魚星 小田原駅前店（栄町2-1-30）	【公式】チムニー株式会社 |「はなの舞」「さかなや道場」など展開
C1_ブランドサイト共有	https://www.instagram.com/p/DMOXL7LTEJE/	8.9	nagomi2901.com	★焼肉和（中央2-16-8） / 焼肉 和（取手2-1-17）	焼肉なごみ | 茨城のこだわり焼肉
C1_ブランドサイト共有	https://www.instagram.com/p/DZRVpEZMvNe/	31.8	astoria.jpn.com	★アストリア（奈良県橿原市城殿町３９９−３） / サンドイッチパーラー アストリア（大阪府大阪市天王寺区上本町６丁目１−５５）	サンドイッチパーラー アストリア | 大阪難波・上本町の老舗カツサンド専門店
C1_ブランドサイト共有	https://www.instagram.com/p/Dcxk2kOE4SP/	340.4	malaika.co.jp	★Rainbow cafe 名取店（上余田千刈田568-1） / レインボーカフェ 平塚店（神奈川県平塚市田村４丁目１６−２）	マライカ｜ホームページ 国内最大級の民芸雑貨を取り扱うマライカ
C1_ブランドサイト共有	https://www.instagram.com/p/DZe1FP3yi8k/	24.0	banryu-chuka.com	★中華飯店 幡龍 つがる柏店（青森県つがる市柏稲盛幾世４１） / 麺屋幡 五所川原店（青森県五所川原市中央３丁目６５） / 中華飯店幡龍弘前城東店（青森県弘前市高田３丁目１−４） / 中華飯店幡龍藤崎店（藤崎町矢沢福富76-1）	📍中華飯店 幡龍 お値段そのまま！あなたなら、どっち？🍜（実キャプション）
C1_ブランドサイト共有	https://www.instagram.com/p/DXu8Vs_E3oJ/	885.4	karon-cafe.com	★花論珈琲茶房 浦和店（埼玉県さいたま市浦和区仲町２丁目６−１０） / 花論珈琲茶房 福岡別府店（Befu, 3 Chome−7−7） / 花論珈琲茶房 名古屋 藤が丘店（Takaragaoka, 288） / 花論珈琲茶房 小樽築港店（北海道小樽市若竹町１８−２２）	花論珈琲茶房 - 北海道発祥。札幌・小樽・さいたま・名古屋・福岡に展開する珈琲茶房です。
C1_ブランドサイト共有	https://www.instagram.com/p/DcqGM4uzUdw/	54.1	chocolatefarm.tokyo	★東京チョコレートファーム Kashiwa（千葉県柏市つくしが丘２丁目１−４） / Tokyo Chocolate Farm（中神町1295）	東京チョコレイトファーム 東京発のブランドです。
C1_ブランドサイト共有	https://www.instagram.com/p/Dbfe--uH6YM/	0.0	kobe-nonchan.com	★のんちゃん別館（北長狭通1-8-2） / 焼き鳥のんちゃん 本館（兵庫県神戸市中央区北長狭通１丁目１０−１）	やき鳥のんちゃん 神戸三宮駅から小走り30秒！
C1_ブランドサイト共有	https://www.instagram.com/p/DZBeQkKku_X/	305.2	sushikan.co.jp	★うまい鮨勘名掛丁支店（宮城県仙台市青葉区中央１丁目７−７） / うまい鮨勘赤坂支店（東京都港区赤坂３丁目１３−１０） / うまい鮨勘石巻支店（宮城県石巻市恵み野３丁目４−２） / うまい鮨勘宮城野原支店（宮城県仙台市宮城野区西宮城野７−１）	回転寿司と対面寿司店の「うまい鮨勘」
C1_ブランドサイト共有	https://www.instagram.com/p/CiolIXHPWkE/	5.0	okada-coffee.com	★岡田珈琲 グランガーデン（熊本県熊本市中央区城東町４−７） / 岡田珈琲日赤店（熊本県熊本市東区長嶺南２丁目１−１）	TOPPAGE - 岡田珈琲
C1_ブランドサイト共有	https://www.instagram.com/p/DcLkFWlCGVI/	28.3	pauljapan.com	★Paul（東京都港区高輪３丁目２６−２７） / PAUL（東京都町田市原町田６丁目１−１１）	PAUL公式サイト-PAUL Japan
C1_ブランドサイト共有	https://www.instagram.com/p/CtD_Z6VSwIF/	244.5	lindt.jp	★リンツ ショコラ カフェ（宮寺3169-1） / Lindt（Nishinakano, 972-1 三井アウトレットパーク北陸小矢部 1F） / リンツショコラ・カフェ 渋谷（東京都渋谷区渋谷１丁目２５−６） / リンツ ショコラ カフェ（神奈川県横浜市神奈川区金港町１−１０）	【Lindt リンツ】チョコレートの公式オンラインショップ
C1_ブランドサイト共有	https://www.instagram.com/p/Da_vkhWBnDD/	5.1	tppn.jp	★orange egg（北海道稚内市若葉台２丁目１−４） / orangegg*（3 Chome-6-1 Central）	Orangegg（オレンジエッグ） | 北海道最北のスイーツ
C1_ブランドサイト共有	https://www.instagram.com/p/Db2iQcQEk9w/	808.6	sakana-uosei.com	★魚星（旭町1-1-2） / さかな酒場 魚星（中央区南3条西4-2） / さかな酒場魚星阿佐ヶ谷店（阿佐谷南2-15-2）	【公式】個室完備 さかな酒場 魚星 柏西口店
C1_ブランドサイト共有	https://www.instagram.com/p/DYV4kBXTrBA/	54.7	tatsunoya.net	★ラーメン龍の家光の森店（熊本県菊池郡菊陽町光の森７丁目３５−１） / 龍の家 ワンダーシティ店（熊本県熊本市中央区九品寺６丁目９−４０） / 龍の家久留米インター店（福岡県久留米市御井旗崎１丁目１１−１）	とんこつラーメンの龍の家｜久留米・新宿・熊本
C1_ブランドサイト共有	https://www.instagram.com/p/DasOBTTk7QG/	114.8	risotteria-gaku.net	★Risotteria Gaku Hiragishi（北海道札幌市豊平区平岸２条５丁目２−１４） / Risotteria Gaku Tre Asahikawa Italian（北海道旭川市４条通２０丁目１７２０） / Risotteria Gaku Bis（北海道札幌市中央区南２条西２丁目１１）	Risotteria GAKU 公式サイト｜北海道
C1_ブランドサイト共有	https://www.instagram.com/p/Cz3DZ96yEZN/	886.7	nikugatou.com	★赤身にくがとう（東京都港区六本木６丁目１０−１） / 焼肉 赤身にくがとう【福岡店】（福岡県福岡市中央区地行浜２丁目２−６）	焼肉「赤身にくがとう」
C1_ブランドサイト共有	https://www.instagram.com/p/DCRDIKwTCTy/	9.5	salsa-cabana.com	★サルサ カバナ セントロ（東京都港区新橋４丁目１５−４） / サルサカバナ 中野店（東京都中野区中野５丁目４７−３）	四谷・新橋・中野の本格メキシカンバル「サルサカバナ」
C1_ブランドサイト共有	https://www.instagram.com/reel/DU94GVsk8T5/	381.4	ajiman.co.jp	★あじまん（柏の葉5-5-8） / 炭火焼肉大阪あじまん（石川県金沢市高尾台３丁目８２） / あじまん イオンスーパーセンター横手南店（婦気大堤中田4ｰ1）	冬のおやつ「あじまん」｜あじまん｜たこ焼き｜山形｜
C1_ブランドサイト共有	https://www.instagram.com/p/CvPMy6orNnC/	367.0	yagenbori.co.jp	★やげんぼり赤坂店（東京都港区赤坂３丁目１９−５） / やげんぼり 花見小路店（東山区祇園花見小路通四条下ル一筋目西入） / 乃木坂しぐれ茶屋侘助（東京都港区赤坂９丁目６−３０）	やげんぼりグループ・オフィシャルサイト
C1_ブランドサイト共有	https://www.instagram.com/p/DBCQFVFgU2M/	9.5	salsa-cabana.com	★サルサ カバナ セントロ（東京都港区新橋４丁目１５−４） / サルサカバナ 中野店（東京都中野区中野５丁目４７−３）	四谷・新橋・中野の本格メキシカンバル「サルサカバナ」
C1_ブランドサイト共有	https://www.instagram.com/p/DcffLYgJj4M/	389.9	viedefrance.co.jp	★ヴィ・ド・フランス カフェ（神奈川県横浜市港北区大倉山１丁目１−１） / ヴィ・ド・フランスJr相模原（神奈川県相模原市中央区相模原１丁目１−３） / VIE DE FRANCE 池田店（栄町1-1） / ヴィ・ド・フランス（中央3-2）	VIE DE FRANCE - Official Homepage 全国約230店。
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DYliC-tIC1d/	186.7	human-community.co.jp,tukemen-maruya.com	★つけ麺まる家（福島県いわき市平田町１７−１） / 鶏白湯専門店 つけ麺 まるや 高円寺北口店（高円寺北2-22-6） / つけ麺まるや（新田4-8-17）	鶏白湯専門店つけ麺まるや公式サイト｜福島県いわき市から鶏白湯ラーメンを全国へ
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DVUyXukDyS-/	186.7	human-community.co.jp,tukemen-maruya.com	★つけ麺まる家（福島県いわき市平田町１７−１） / 鶏白湯専門店 つけ麺 まるや 高円寺北口店（高円寺北2-22-6） / つけ麺まるや（新田4-8-17）	鶏白湯専門店つけ麺まるや公式サイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DcLfXZ-I7rz/	36.4	kobe-ramentaro.com,chinaroad-japan.com	★ラーメンたろう加古川店（兵庫県加古川市加古川町粟津４４７−１） / ラーメンたろう 姫路中地店（兵庫県姫路市中地３６５−１） / ラーメンたろう 摩耶店（兵庫県神戸市灘区灘浜町３−５０）	ラーメン神戸たろう公式ウェブサイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DNFnH5eRu_a/	186.7	tukemen-maruya.com,human-community.co.jp	★つけ麺まる家（福島県いわき市平田町１７−１） / 鶏白湯専門店 つけ麺 まるや 高円寺北口店（高円寺北2-22-6） / つけ麺まるや（新田4-8-17）	鶏白湯専門店つけ麺まるや公式サイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DcgLhDCI_CN/	36.4	kobe-ramentaro.com,chinaroad-japan.com	★ラーメンたろう加古川店（兵庫県加古川市加古川町粟津４４７−１） / ラーメンたろう 姫路中地店（兵庫県姫路市中地３６５−１） / ラーメンたろう 摩耶店（兵庫県神戸市灘区灘浜町３−５０）	姫路中地店 | ラーメン神戸たろう公式ウェブサイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DOC0TAREUkS/	186.7	tukemen-maruya.com,human-community.co.jp	★つけ麺まる家（福島県いわき市平田町１７−１） / 鶏白湯専門店 つけ麺 まるや 高円寺北口店（高円寺北2-22-6） / つけ麺まるや（新田4-8-17）	鶏白湯専門店つけ麺まるや公式サイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DW0BYqbkexw/	0.0	strawberryfields.jp,1515.itigo.jp	★Sucre Fraise（1278 Chikushi） / pizza 伊勢吉窯（筑紫1278）	ストロベリーフィールズ｜筑紫野いちご農園
C2_複数ドメインに埋め込み	https://www.instagram.com/p/Dbzflz-Jyae/	36.4	chinaroad-japan.com,kobe-ramentaro.com	★ラーメンたろう加古川店（兵庫県加古川市加古川町粟津４４７−１） / ラーメンたろう 姫路中地店（兵庫県姫路市中地３６５−１） / ラーメンたろう 摩耶店（兵庫県神戸市灘区灘浜町３−５０）	ラーメン神戸たろう公式ウェブサイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DcyMtxHI-MO/	36.4	kobe-ramentaro.com,chinaroad-japan.com	★ラーメンたろう加古川店（兵庫県加古川市加古川町粟津４４７−１） / ラーメンたろう 姫路中地店（兵庫県姫路市中地３６５−１） / ラーメンたろう 摩耶店（兵庫県神戸市灘区灘浜町３−５０）	姫路中地店 | ラーメン神戸たろう公式ウェブサイト
C2_複数ドメインに埋め込み	https://www.instagram.com/p/DbNkQoFD3x-/	36.4	kobe-ramentaro.com,chinaroad-japan.com	★ラーメンたろう加古川店（兵庫県加古川市加古川町粟津４４７−１） / ラーメンたろう 姫路中地店（兵庫県姫路市中地３６５−１） / ラーメンたろう 摩耶店（兵庫県神戸市灘区灘浜町３−５０）	姫路中地店 | ラーメン神戸たろう公式ウェブサイト
C3_ブランドアカウント共有	https://www.instagram.com/p/DM6tGbdBBgn/	0.0	bene_umeda	★ガンボ&オイスターバー 梅田Nu茶屋町店（茶屋町10-12） / Cheese and Grill Bene（北区茶屋町10-12）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/CS261c6lqjg/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	本日の営業は13時からとなります🍧 #あんどりゅ#かき氷#かき氷専門店#名古屋かき氷#大須グルメ
C3_ブランドアカウント共有	https://www.instagram.com/p/DZdpk-xjX2i/	2.7	akashiya_1854	★合名会社明石屋菓子店玉里店（鹿児島県鹿児島市下伊敷１丁目９−１） / el mundo（11-1 Nakamachi）	嘉祥祭限定／水無月（抹茶） 鹿児島県産抹茶を贅沢に使用し、大納言小豆をのせて蒸し上げました。
C3_ブランドアカウント共有	https://www.instagram.com/p/CRC2OBXArWD/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	#あんどりゅ#かき氷#かき氷専門店#名古屋かき氷#豊橋#大須#大須グルメ
C3_ブランドアカウント共有	https://www.instagram.com/p/C-wxUsThvzu/	0.0	2unagu	★やきとん ブタとマツリ 松本つなぐ横丁店（1 Chome-3-21 Fukashi） / つなぐポチャ（1 Chome-3-21 Fukashi）	8/25(日)15:00-18:00 つなぐ横丁 おぉ祭り が開催されます。
C3_ブランドアカウント共有	https://www.instagram.com/p/DUzR4y0D21T/	20.6	bunmeido_tokyo	★西友練馬店（東京都練馬区練馬１丁目３−１０） / 文明堂（南小岩7-24-15）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/DM9RxVoyi70/	0.0	bene_umeda	★ガンボ&オイスターバー 梅田Nu茶屋町店（茶屋町10-12） / Cheese and Grill Bene（北区茶屋町10-12）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/Cit6JCIvBB2/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	お待たせいたしました💚 チョコミントのかき氷です🍫🌿🍧 #あんどりゅ#かき氷専門店
C3_ブランドアカウント共有	https://www.instagram.com/p/C6iU5VWPWIl/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	久しぶりの新作です🍧 韓国で人気のビヨットヨーグルトをかき氷にしました🤍
C3_ブランドアカウント共有	https://www.instagram.com/p/CmdSPJWStB1/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	あんどりゅ。のかき氷じゃない新商品🍠 スイポテ戦隊 🌈ブリュレンジャー🌈
C3_ブランドアカウント共有	https://www.instagram.com/p/DZvrHrTEvMU/	2.7	akashiya_1854	★合名会社明石屋菓子店玉里店（鹿児島県鹿児島市下伊敷１丁目９−１） / el mundo（11-1 Nakamachi）	父の日上生菓子【薔薇（ばら）】
C3_ブランドアカウント共有	https://www.instagram.com/p/DcrpFUGDE0y/	18.9	52josuian_official	★如水庵 長住店（南区長住2-1-1） / 五十二萬石 如水庵 古賀工房直売処（鹿部316-24）	秋の気配を感じる頃となりましたが…写真：9月（長月）の上生
C3_ブランドアカウント共有	https://www.instagram.com/p/Db1kcWYDVvb/	2.7	akashiya_1854	★合名会社明石屋菓子店玉里店（鹿児島県鹿児島市下伊敷１丁目９−１） / el mundo（11-1 Nakamachi）	◎お盆／おはぎ 暑さで食が細くなりがちなこの時期に食べたい甘味が「おはぎ」です。
C3_ブランドアカウント共有	https://www.instagram.com/p/DbISy1OAW8M/	2.7	akashiya_1854	★合名会社明石屋菓子店玉里店（鹿児島県鹿児島市下伊敷１丁目９−１） / el mundo（11-1 Nakamachi）	錦江（きんこう） 自然薯の風味豊かな真っ白い「軽羹」で羊羹を挟みました。
C3_ブランドアカウント共有	https://www.instagram.com/p/CTPC0aQlkTG/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	素敵な歌声にありがとうございます🍧💗 #かき氷専門店#あんどりゅ#名古屋#大須
C3_ブランドアカウント共有	https://www.instagram.com/p/CQwukrPAexX/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	本日、豊橋店Openの応援の為 大須本店お休みとなります🍧 #あんどりゅ#かき氷
C3_ブランドアカウント共有	https://www.instagram.com/p/Dcgzpl4k3K1/	330.2	afternoontea_official	★ハムステッドティールーム（宮城県仙台市青葉区一番町３丁目８−２４） / Afternoon Tea LOVE & TABLE（西区高島2-16-1）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/CSVcTg7FWs4/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	本日悪天候の為 営業時間は13時から17時と短縮営業となります🍧 #あんどりゅ#かき氷
C3_ブランドアカウント共有	https://www.instagram.com/p/DZZHc7dktTU/	2.7	akashiya_1854	★合名会社明石屋菓子店玉里店（鹿児島県鹿児島市下伊敷１丁目９−１） / el mundo（11-1 Nakamachi）	◎招福祈願 明石屋嘉祥祭 ６月１６日「和菓子の日」を記念し開催します。
C3_ブランドアカウント共有	https://www.instagram.com/p/Clnvi47y4X2/	278.5	bonvoyage0515	★Bon Voyage（愛知県知多郡南知多町大井西園１６０） / やきとんひなた 川口店（Sakaecho, 3 Chome−8−3 5F）	📍肉バル＆イタリアン酒場 ボンボヤージュ 【川口市】川口駅東口近くの「ボンボヤージュ」
C3_ブランドアカウント共有	https://www.instagram.com/p/ClVqwbESjHx/	278.5	bonvoyage0515	★Bon Voyage（愛知県知多郡南知多町大井西園１６０） / やきとんひなた 川口店（Sakaecho, 3 Chome−8−3 5F）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/CkmNBt6SvcV/	0.0	bistro_sincerite	★Bistro Sincerite（砧6-30-5 2F） / プロフィテ サンセリテ（砧6-30-5）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/DP_EZPWEcEw/	0.0	aju_iidabashi	★Aju Trattoria 飯田橋（揚場町1-11） / プロント飯田橋店（東京都新宿区揚場町１−１１）	10月17日 飯田橋にNEW OPEN !!✨ Pizzeria & Trattoria "AJU"
C3_ブランドアカウント共有	https://www.instagram.com/p/DVkWUyik9eR/	17.6	akehamamikan	★スリーサンズ 高崎小鳥店（群馬県高崎市下小鳥町１４２−１） / 明浜みかん専門店 スリーサンズ 伊勢崎太田町店（太田町642-12）	(キャプション無し)
C3_ブランドアカウント共有	https://www.instagram.com/p/Ckp3VVJy19b/	0.0	andoryu_osuhonten	★大須の森カフェ コダマ（大須4丁目2-47） / かき氷専門店 あんどりゅ。 大須本店(Andoryu)（大須4-2-47）	昨日のRIZIN名古屋大会…選手がかき氷を食べにいらして下さいました🍧
C4_seedとresolveの食い違い	https://www.instagram.com/p/CDaVECaAhh1/	7.0	fratello-di-mikuni.com	★Kamikawa Kitchen（189-3 Kitamachi） / Fratello Di Mikuni Kamikawa（Shirakawa, 旭ヶ丘）	#フラテッロディミクニ #上川大雪 #森のガーデン #北海道フレンチ #fratellodimikuni
C4_seedとresolveの食い違い	https://www.instagram.com/p/DCitZU8vs3e/	7.6	awa-kankou.jp	★あさの屋（市場町上喜来字二俣前380-5） / お好み焼きDining ゴチッス。（徳島県阿波市土成町吉田川久保１９３−１）	《御所のたらいうどんフェア2024スタンプラリー》本日は【お好み焼きDining ゴチッス。】さんをご紹介😊
C4_seedとresolveの食い違い	https://www.instagram.com/p/DcNdiskpxEW/	49.1	takozura.com	★たこ顔鶴ヶ島店（埼玉県鶴ヶ島市三ツ木新町１丁目１−１３） / たこ顔 ガーデンズ店（宮子町3406-3）	9月の出動日 15日(土) vs 福島ユナイテッドＦＣ戦…大人気メニューを販売いたします！
C4_seedとresolveの食い違い	https://www.instagram.com/p/DaEt-Y6kuui/	5.7	box_burger_jp	★BOX BURGER Hakone Yumoto Store（474-37 Yumoto） / Box Burger（神奈川県足柄下郡箱根町宮城野６３７−１）	𝐁𝐎𝐗 𝐁𝐔𝐑𝐆𝐄𝐑 【世界が恋するハンバーガーを、箱根から】
C4_seedとresolveの食い違い	https://www.instagram.com/p/DNmWpLITVun/	0.3	bifuka-kankou.com	★Kusuda Design and Cafe（東２丁目南１） / むつみ食堂（北海道中川郡美深町大通南（字）４丁目４）	第6回美深ファーマーズマーケット開催！！〈日時〉8/23（土）9:00〜12:00
